Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
TM35_000811020-t36_1-p1	TM35_000811020-t36_1-p1	1	1	1	TM35_000811020-t36_1-p1 | transcript=TM35_000811020-t36_1 | gene=TM35_000811020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000081:9086-10036(+) | protein_	1	1	1	1	7	7	7	32.47	316	316	0	18.239	1333100	3				1151	717	True	725	886;887	1636;1637;1638	1638		
TM35_000811080-t36_1-p1	TM35_000811080-t36_1-p1	4	4	4	TM35_000811080-t36_1-p1 | transcript=TM35_000811080-t36_1 | gene=TM35_000811080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000081:32597-33706(+) | protein	1	4	4	4	21.7	21.7	21.7	38.159	369	369	0	67.461	6975900	9				1152	365;964;2646;3531	True;True;True;True	369;976;2701;3597	443;444;1204;3314;4431	796;797;798;799;800;2330;2331;6282;8427	800;2331;6282;8427		
TM35_000811090-t36_1-p1	TM35_000811090-t36_1-p1	4	4	3	TM35_000811090-t36_1-p1 | transcript=TM35_000811090-t36_1 | gene=TM35_000811090 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000081:35087-35668(+) | protein	1	4	4	3	27.5	27.5	23.3	19.777	193	193	0	26.682	10785000	6				1153	38;449;2123;3664	True;True;True;True	39;454;2150;3735	55;540;2647;4608;4609	111;978;5113;5114;8817;8818	111;978;5114;8817		
TM35_000811110-t36_1-p1	TM35_000811110-t36_1-p1	1	1	1	TM35_000811110-t36_1-p1 | transcript=TM35_000811110-t36_1 | gene=TM35_000811110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000081:41567-42079(+) | protein	1	1	1	1	17.5	17.5	17.5	16.845	171	171	0	23.986	8792800	5				1154	955	True	966	1193	2301;2302;2303;2304;2305	2303		
TM35_000821010-t36_1-p1	TM35_000821010-t36_1-p1	1	1	1	TM35_000821010-t36_1-p1 | transcript=TM35_000821010-t36_1 | gene=TM35_000821010 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000082:13504-14316(+) | protein	1	1	1	1	3	3	3	31.173	270	270	0	6.3288	0	1				1155	1102	True	1116	1381	2681	2681	110	251
TM35_000821030-t36_1-p1	TM35_000821030-t36_1-p1	1	1	1	TM35_000821030-t36_1-p1 | transcript=TM35_000821030-t36_1 | gene=TM35_000821030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000082:17727-19028(+) | protein	1	1	1	1	2.8	2.8	2.8	48.412	433	433	0	7.3131	1779200	2				1156	3755	True	3826	4720	9009;9010	9009		
TM35_000821050-t36_1-p1	TM35_000821050-t36_1-p1	4	3	3	TM35_000821050-t36_1-p1 | transcript=TM35_000821050-t36_1 | gene=TM35_000821050 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000082:30902-31627(+) | protein	1	4	3	3	21.5	18.6	18.6	27.009	242	242	0	90.615	9411700	4				1157	236;396;1163;2689	True;True;True;False	240;401;1179;2745	293;294;482;1451;3364	538;539;874;2812;6363	538;874;2812;6363		
TM35_000821080-t36_1-p1	TM35_000821080-t36_1-p1	5	4	4	TM35_000821080-t36_1-p1 | transcript=TM35_000821080-t36_1 | gene=TM35_000821080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000082:37807-38991(+) | protein	1	5	4	4	15.7	13.5	13.5	42.823	394	394	0	67.697	7678700	4				1158	26;2494;2517;2593;3342	False;True;True;True;True	26;2545;2568;2647;3406	36;3121;3147;3240;4189	73;5940;5977;6155;7932	73;5940;5977;6155;7932		
TM35_000831060-t36_1-p1	TM35_000831060-t36_1-p1	2	2	2	TM35_000831060-t36_1-p1 | transcript=TM35_000831060-t36_1 | gene=TM35_000831060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000083:20373-21797(+) | protein	1	2	2	2	5.7	5.7	5.7	54.192	474	474	0	17.469	823440	2				1159	229;478	True;True	232;483	282;576	527;1045	527;1045		
TM35_000831080-t36_1-p1	TM35_000831080-t36_1-p1	1	1	1	TM35_000831080-t36_1-p1 | transcript=TM35_000831080-t36_1 | gene=TM35_000831080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000083:29503-30189(-) | protein	1	1	1	1	6.6	6.6	6.6	24.586	228	228	0	7.368	405880	1				1160	2440	True	2491	3046	5792	5792		
TM35_000841000-t36_1-p1	TM35_000841000-t36_1-p1	1	1	1	TM35_000841000-t36_1-p1 | transcript=TM35_000841000-t36_1 | gene=TM35_000841000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000084:2952-3362(-) | protein_l	1	1	1	1	7.3	7.3	7.3	15.397	137	137	0	10.987	331400	1				1161	2934	True	2991	3663	6915	6915		
TM35_000841010-t36_1-p1	TM35_000841010-t36_1-p1	1	1	1	TM35_000841010-t36_1-p1 | transcript=TM35_000841010-t36_1 | gene=TM35_000841010 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000084:3414-3848(-) | protein_l	1	1	1	1	9	9	9	15.432	144	144	0	7.0252	2459300	1				1162	3130	True	3190	3913	7421	7421		
TM35_000841020-t36_1-p1	TM35_000841020-t36_1-p1	9	8	8	TM35_000841020-t36_1-p1 | transcript=TM35_000841020-t36_1 | gene=TM35_000841020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000084:4534-5307(-) | protein_l	1	9	8	8	29.6	25.7	25.7	27.388	257	257	0	72.901	215740000	86				1163	554;1988;1997;2084;2120;2121;2448;2723;3718	True;True;True;False;True;True;True;True;True	559;2015;2024;2111;2147;2148;2499;2779;3789	662;2475;2487;2488;2603;2604;2643;2644;2645;3054;3055;3056;3057;3058;3059;3060;3061;3062;3063;3064;3065;3066;3404;3405;3406;3407;3408;3409;4677;4678	1226;1227;1228;4779;4780;4781;4782;4804;4805;4806;4807;4808;4809;5022;5023;5024;5025;5026;5027;5028;5029;5030;5031;5032;5033;5034;5107;5108;5109;5110;5111;5804;5805;5806;5807;5808;5809;5810;5811;5812;5813;5814;5815;5816;5817;5818;5819;5820;5821;5822;5823;5824;5825;5826;5827;5828;5829;5830;5831;5832;5833;5834;5835;5836;5837;6429;6430;6431;6432;6433;6434;6435;6436;6437;6438;6439;6440;6441;6442;6443;6444;6445;6446;6447;6448;6449;6450;8930;8931;8932;8933;8934;8935;8936;8937;8938;8939;8940;8941	1228;4779;4808;5024;5107;5109;5813;6432;8938		
TM35_000841030-t36_1-p1	TM35_000841030-t36_1-p1	7	7	7	TM35_000841030-t36_1-p1 | transcript=TM35_000841030-t36_1 | gene=TM35_000841030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000084:5985-7502(-) | protein_l	1	7	7	7	13.1	13.1	13.1	53.396	505	505	0	46.03	7421100	8				1164	77;849;1954;2164;2521;3411;4039	True;True;True;True;True;True;True	78;858;1980;2191;2572;3476;4111	98;1063;2434;2690;3151;4280;5058	180;2034;4703;5181;5983;8117;9646;9647	180;2034;4703;5181;5983;8117;9646		
TM35_000841050-t36_1-p1	TM35_000841050-t36_1-p1	3	3	3	TM35_000841050-t36_1-p1 | transcript=TM35_000841050-t36_1 | gene=TM35_000841050 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000084:9689-10516(-) | protein_	1	3	3	3	11.3	11.3	11.3	29.651	275	275	0	19.306	2163000	3				1165	472;713;1018	True;True;True	477;721;1031	570;882;1269	1036;1630;2446	1036;1630;2446		
TM35_000841110-t36_1-p1	TM35_000841110-t36_1-p1	2	2	2	TM35_000841110-t36_1-p1 | transcript=TM35_000841110-t36_1 | gene=TM35_000841110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000084:26746-27111(-) | protein	1	2	2	2	15.6	15.6	15.6	13.085	122	122	0	13.47	7417000	7				1166	3722;4085	True;True	3793;4158	4682;4683;5113	8945;8946;8947;8948;8949;9733;9734	8946;9734		
TM35_000841140-t36_1-p1	TM35_000841140-t36_1-p1	5	5	4	TM35_000841140-t36_1-p1 | transcript=TM35_000841140-t36_1 | gene=TM35_000841140 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000084:34070-34729(-) | protein	1	5	5	4	27.3	27.3	23.2	24.283	220	220	0	43.72	26695000	15				1167	22;2105;2116;2170;3356	True;True;True;True;True	22;2132;2143;2198;2199;3420	31;2627;2639;2700;2701;4213	64;65;66;5080;5081;5082;5100;5101;5201;5202;5203;5204;7969;7970;7971	65;5080;5101;5204;7969	111	61
TM35_000841150-t36_1-p1;TM35_000023810-t36_1-p1	TM35_000841150-t36_1-p1	6;1	6;1	6;1	TM35_000841150-t36_1-p1 | transcript=TM35_000841150-t36_1 | gene=TM35_000841150 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000084:39881-40546(-) | protein	2	6	6	6	37.4	37.4	37.4	24.233	222	222;276	0	111.83	59807000	18				1168	811;1016;1501;3350;3726;3895	True;True;True;True;True;True	819;1029;1520;3414;3797;3966	1001;1002;1267;1879;4206;4207;4687;4883	1856;1857;1858;1859;1860;2443;2444;3623;7954;7955;7956;7957;7958;7959;7960;8957;9317;9318	1856;2443;3623;7955;8957;9318		
TM35_000851020-t36_1-p1;TM35_000441530-t36_1-p1	TM35_000851020-t36_1-p1;TM35_000441530-t36_1-p1	4;3	4;3	4;3	TM35_000851020-t36_1-p1 | transcript=TM35_000851020-t36_1 | gene=TM35_000851020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000085:3408-4106(+) | protein_l	2	4	4	4	17.2	17.2	17.2	25.564	232	232;232	0	26.631	1852800	4				1169	860;2514;2725;2981	True;True;True;True	869;2565;2781;3039	1075;3144;3411;3723	2054;5973;6452;7059	2054;5973;6452;7059		
TM35_000851080-t36_1-p1	TM35_000851080-t36_1-p1	6	6	6	TM35_000851080-t36_1-p1 | transcript=TM35_000851080-t36_1 | gene=TM35_000851080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000085:20926-22080(+) | protein	1	6	6	6	20.6	20.6	20.6	42.786	384	384	0	53.13	15058000	10				1170	249;297;908;944;1548;1781	True;True;True;True;True;True	253;301;919;955;1567;1804	309;362;1138;1181;1933;2221	565;647;648;2176;2177;2178;2179;2272;3700;4304	565;648;2177;2272;3700;4304		
TM35_000861000-t36_1-p1	TM35_000861000-t36_1-p1	2	1	1	TM35_000861000-t36_1-p1 | transcript=TM35_000861000-t36_1 | gene=TM35_000861000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000086:3448-3909(-) | protein_l	1	2	1	1	29.9	24.7	24.7	15.867	154	154	0	12.553	3899500	4				1171	2750;2755	False;True	2806;2811	3439;3444;3445	6501;6502;6510;6511;6512;6513	6501;6511		
TM35_000861040-t36_1-p1	TM35_000861040-t36_1-p1	1	1	1	TM35_000861040-t36_1-p1 | transcript=TM35_000861040-t36_1 | gene=TM35_000861040 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000086:28748-29719(-) | protein	1	1	1	1	3.4	3.4	3.4	34.383	323	323	0	9.6397	1471900	2				1172	3176	True	3239	3982	7543;7544	7543		
TM35_000861050-t36_1-p1	TM35_000861050-t36_1-p1	5	4	4	TM35_000861050-t36_1-p1 | transcript=TM35_000861050-t36_1 | gene=TM35_000861050 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000086:34435-34869(-) | protein	1	5	4	4	44.1	34.5	34.5	14.782	145	145	0	42.536	8673900	11				1173	143;1773;1970;2548;3557	True;True;True;True;False	146;1796;1997;2601;3624	182;2212;2454;2455;3185;3186;4467;4468;4469	340;4282;4735;4736;4737;4738;4739;4740;6051;6052;6053;8515;8516;8517;8518;8519;8520;8521;8522;8523;8524;8525	340;4282;4740;6051;8524		
TM35_000861060-t36_1-p1	TM35_000861060-t36_1-p1	2	2	2	TM35_000861060-t36_1-p1 | transcript=TM35_000861060-t36_1 | gene=TM35_000861060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000086:36302-36742(-) | protein	1	2	2	2	19.7	19.7	19.7	15.482	147	147	0	31.131	14869000	4				1174	115;3611	True;True	118;3679	149;4539	278;8686;8687;8688	278;8686		
TM35_000901000-t36_1-p1	TM35_000901000-t36_1-p1	6	3	3	TM35_000901000-t36_1-p1 | transcript=TM35_000901000-t36_1 | gene=TM35_000901000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=titin-like | transcript_product=titin-like | location=NBCO01000090:5291-6178(-) | protein_length=295 | sequence	1	6	3	3	22.4	10.2	10.2	30.605	295	295	0	23.295	5127500	5				1175	1235;2014;2038;3368;3925;3940	False;True;True;False;True;False	1252;2041;2065;3433;3996;4011	1548;2512;2538;4230;4914;4933	2992;4849;4850;4851;4911;8001;8002;9373;9400	2992;4850;4911;8001;9373;9400		
TM35_000901010-t36_1-p1	TM35_000901010-t36_1-p1	11	11	9	TM35_000901010-t36_1-p1 | transcript=TM35_000901010-t36_1 | gene=TM35_000901010 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000090:7354-8691(-) | protein_l	1	11	11	9	35.1	35.1	29.4	45.618	445	445	0	127.3	33095000	26				1176	119;1628;2140;2443;2598;2616;3206;3435;3613;3818;4002	True;True;True;True;True;True;True;True;True;True;True	122;1648;2167;2494;2652;2670;3269;3500;3681;3889;4074	153;2030;2664;3049;3245;3246;3267;4022;4307;4541;4542;4788;5007;5008	284;285;286;3901;3902;3903;5138;5797;6161;6162;6203;6204;6205;7616;7617;8179;8180;8692;8693;8694;8695;8696;9131;9544;9545;9546	284;3902;5138;5797;6161;6203;7617;8180;8696;9131;9546		
TM35_000901020-t36_1-p1	TM35_000901020-t36_1-p1	6	6	6	TM35_000901020-t36_1-p1 | transcript=TM35_000901020-t36_1 | gene=TM35_000901020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000090:9330-10406(-) | protein_	1	6	6	6	34.9	34.9	34.9	36.657	358	358	0	45.587	9036500	16				1177	648;712;824;1559;3324;3732	True;True;True;True;True;True	654;720;832;1579;3388;3803	800;881;1017;1018;1947;1948;4170;4695	1455;1628;1629;1894;1895;1896;1897;3728;3729;3730;3731;3732;3733;3734;7903;8967	1455;1629;1896;3731;7903;8967		
TM35_000901030-t36_1-p1	TM35_000901030-t36_1-p1	1	1	1	TM35_000901030-t36_1-p1 | transcript=TM35_000901030-t36_1 | gene=TM35_000901030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000090:10949-12382(-) | protein	1	1	1	1	2.5	2.5	2.5	50.163	477	477	0	7.2429	850760	1				1178	1089	True	1103	1364	2641	2641		
TM35_000901050-t36_1-p1	TM35_000901050-t36_1-p1	5	5	4	TM35_000901050-t36_1-p1 | transcript=TM35_000901050-t36_1 | gene=TM35_000901050 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000090:15344-16108(-) | protein	1	5	5	4	26	26	19.3	26.907	254	254	0	45.907	15086000	12				1179	1461;2474;3432;3577;3764	True;True;True;True;True	1480;2525;3497;3644;3835	1827;3096;4303;4497;4729	3510;5895;8170;8171;8172;8589;8590;8591;8592;9021;9022;9023	3510;5895;8171;8590;9022		
TM35_000901060-t36_1-p1	TM35_000901060-t36_1-p1	3	2	2	TM35_000901060-t36_1-p1 | transcript=TM35_000901060-t36_1 | gene=TM35_000901060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000090:16793-18088(-) | protein	1	3	2	2	15.8	11.8	11.8	44.43	431	431	0	16.611	4753700	2				1180	1299;2478;4010	True;True;False	1317;2529;4082	1626;3101;5017	3114;5903;9562	3114;5903;9562		
TM35_000901080-t36_1-p1	TM35_000901080-t36_1-p1	2	2	2	TM35_000901080-t36_1-p1 | transcript=TM35_000901080-t36_1 | gene=TM35_000901080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000090:21274-21864(-) | protein	1	2	2	2	15.2	15.2	15.2	20.978	197	197	0	16.179	3682000	2				1181	2134;2638	True;True	2161;2692	2658;3303	5130;6268	5130;6268		
TM35_000901090-t36_1-p1	TM35_000901090-t36_1-p1	9	9	9	TM35_000901090-t36_1-p1 | transcript=TM35_000901090-t36_1 | gene=TM35_000901090 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000090:22416-23675(-) | protein	1	9	9	9	31.3	31.3	31.3	43.109	419	419	0	70.712	137200000	25				1182	206;278;427;457;2480;2538;3733;3846;4001	True;True;True;True;True;True;True;True;True	209;282;432;462;2531;2590;3804;3917;4073	254;342;343;517;550;551;3104;3170;4696;4823;5005;5006	475;617;618;619;933;998;999;1000;1001;1002;1003;1004;5907;5908;6021;6022;8968;8969;8970;9194;9195;9196;9197;9542;9543	475;618;933;1001;5908;6021;8968;9196;9542		
TM35_000901100-t36_1-p1;TM35_000741110-t36_1-p1	TM35_000901100-t36_1-p1	6;1	6;1	5;1	TM35_000901100-t36_1-p1 | transcript=TM35_000901100-t36_1 | gene=TM35_000901100 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000090:24336-25265(-) | protein	2	6	6	5	37.5	37.5	32.7	32.801	309	309;260	0	50.383	10344000	14				1183	676;1223;1363;1635;1638;2894	True;True;True;True;True;True	683;1239;1382;1655;1658;2950	837;1534;1697;1698;1699;2039;2042;3616	1550;1551;2968;2969;2970;2971;2972;3224;3225;3226;3928;3929;3934;6831	1550;2969;3224;3928;3934;6831		
TM35_000901110-t36_1-p1	TM35_000901110-t36_1-p1	7	6	6	TM35_000901110-t36_1-p1 | transcript=TM35_000901110-t36_1 | gene=TM35_000901110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000090:25820-27088(-) | protein	1	7	6	6	34.8	30.8	30.8	42.944	422	422	0	43.335	19654000	12				1184	325;921;1449;2860;3068;3839;4002	True;True;True;True;True;True;False	329;932;1468;2916;3128;3910;4074	394;1154;1812;3576;3835;4815;5007;5008	714;2213;2214;2215;3469;3470;3471;6749;7271;7272;7273;9182;9544;9545;9546	714;2215;3471;6749;7273;9182;9546		
TM35_000901120-t36_1-p1	TM35_000901120-t36_1-p1	3	2	2	TM35_000901120-t36_1-p1 | transcript=TM35_000901120-t36_1 | gene=TM35_000901120 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000090:29354-29728(-) | protein	1	3	2	2	30.6	25	25	11.934	124	124	0	16.958	4819000	3				1185	437;1336;1762	True;True;False	442;1355;1784	527;1667;2197	947;948;3178;4248	948;3178;4248		
TM35_000921000-t36_1-p1	TM35_000921000-t36_1-p1	1	1	1	TM35_000921000-t36_1-p1 | transcript=TM35_000921000-t36_1 | gene=TM35_000921000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000092:1987-2286(-) | protein_l	1	1	1	1	9.1	9.1	9.1	10.01	99	99	0.0099085	5.6403	0	1				1186	2279	True	2310	2821	5401	5401		
TM35_000921020-t36_1-p1	TM35_000921020-t36_1-p1	5	4	2	TM35_000921020-t36_1-p1 | transcript=TM35_000921020-t36_1 | gene=TM35_000921020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000092:7094-8014(-) | protein_l	1	5	4	2	25.5	21.6	15.7	30.333	306	306	0	63.798	11237000	12				1187	562;1650;2497;2843;2844	False;True;True;True;True	567;1670;2548;2899;2900	671;2057;3124;3125;3556;3557	1244;1245;1246;1247;3959;3960;3961;5944;5945;5946;5947;6720;6721;6722;6723;6724	1245;3959;5945;6721;6723		
TM35_000921030-t36_1-p1	TM35_000921030-t36_1-p1	4	4	4	TM35_000921030-t36_1-p1 | transcript=TM35_000921030-t36_1 | gene=TM35_000921030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000092:8943-9533(-) | protein_l	1	4	4	4	30.6	30.6	30.6	20.25	196	196	0	40.064	14772000	17				1188	407;920;2621;4004	True;True;True;True	412;931;2675;4076	495;1152;1153;3275;5010;5011	891;892;893;894;2209;2210;2211;2212;6221;6222;6223;9548;9549;9550;9551;9552;9553	892;2212;6221;9549		
TM35_000921040-t36_1-p1	TM35_000921040-t36_1-p1	1	1	1	TM35_000921040-t36_1-p1 | transcript=TM35_000921040-t36_1 | gene=TM35_000921040 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000092:14141-15298(-) | protein	1	1	1	1	4.9	4.9	4.9	39.796	385	385	0	11.62	359840	1				1189	2775	True	2831	3474	6573	6573		
TM35_000921080-t36_1-p1	TM35_000921080-t36_1-p1	2	2	1	TM35_000921080-t36_1-p1 | transcript=TM35_000921080-t36_1 | gene=TM35_000921080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000092:24400-24915(-) | protein	1	2	2	1	26.9	26.9	22.2	17.707	171	171	0	22.501	2432900	6				1190	2750;2756	True;True	2806;2812	3439;3446;3447	6501;6502;6514;6515;6516;6517	6501;6515		
TM35_000921090-t36_1-p1	TM35_000921090-t36_1-p1	5	5	5	TM35_000921090-t36_1-p1 | transcript=TM35_000921090-t36_1 | gene=TM35_000921090 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000092:24929-25753(-) | protein	1	5	5	5	27	27	27	28.484	274	274	0	33.714	8289000	5				1191	1085;2441;2768;3299;3840	True;True;True;True;True	1099;2492;2824;3362;3911	1359;3047;3463;4137;4816	2631;5793;6548;7843;9183	2631;5793;6548;7843;9183		
TM35_000921100-t36_1-p1	TM35_000921100-t36_1-p1	1	1	1	TM35_000921100-t36_1-p1 | transcript=TM35_000921100-t36_1 | gene=TM35_000921100 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000092:26486-27571(-) | protein	1	1	1	1	7.8	7.8	7.8	36.023	361	361	0	11.249	785070	4				1192	3086	True	3146	3856	7315;7316;7317;7318	7318		
TM35_000921110-t36_1-p1	TM35_000921110-t36_1-p1	5	3	3	TM35_000921110-t36_1-p1 | transcript=TM35_000921110-t36_1 | gene=TM35_000921110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000092:28390-29274(-) | protein	1	5	3	3	26.9	22.4	22.4	29.556	294	294	0	27.222	4187500	9				1193	1235;1860;2010;3482;3917	False;True;True;True;False	1252;1884;2037;3547;3988	1548;2314;2315;2505;2506;4363;4906	2992;4462;4463;4464;4465;4466;4467;4837;4838;8297;9362;9363	2992;4462;4837;8297;9363		
TM35_000941070-t36_1-p1	TM35_000941070-t36_1-p1	3	3	3	TM35_000941070-t36_1-p1 | transcript=TM35_000941070-t36_1 | gene=TM35_000941070 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000094:22287-23570(-) | protein	1	3	3	3	7.3	7.3	7.3	49.282	427	427	0	22.28	1583800	4				1194	691;2299;3498	True;True;True	698;2330;3564	857;2842;4395	1584;1585;5433;8361	1585;5433;8361		
TM35_000951000-t36_1-p1	TM35_000951000-t36_1-p1	5	5	5	TM35_000951000-t36_1-p1 | transcript=TM35_000951000-t36_1 | gene=TM35_000951000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000095:837-1625(-) | protein_le	1	5	5	5	44.1	44.1	44.1	26.354	263	263	0	59.929	6463100	10				1195	542;1484;1863;2321;3018	True;True;True;True;True	547;1503;1887;2353;3078	649;1861;2320;2875;3769;3770	1202;1203;3593;4475;4476;5506;7138;7139;7140;7141	1203;3593;4475;5506;7138		
TM35_000951010-t36_1-p1	TM35_000951010-t36_1-p1	2	2	2	TM35_000951010-t36_1-p1 | transcript=TM35_000951010-t36_1 | gene=TM35_000951010 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000095:2704-3717(-) | protein_l	1	2	2	2	11.9	11.9	11.9	35.25	337	337	0	12.574	557170	3				1196	2913;3157	True;True	2969;3220	3640;3958	6873;6874;7498	6873;7498		
TM35_000951020-t36_1-p1	TM35_000951020-t36_1-p1	4	4	4	TM35_000951020-t36_1-p1 | transcript=TM35_000951020-t36_1 | gene=TM35_000951020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000095:4518-5486(-) | protein_l	1	4	4	4	22.7	22.7	22.7	32.153	322	322	0	35.159	16294000	15				1197	1713;2549;2793;3229	True;True;True;True	1733;2602;2849;3292	2126;3187;3188;3494;3495;4054	4091;4092;6054;6055;6056;6057;6058;6059;6060;6061;6600;6601;7678;7679;7680	4092;6055;6601;7679		
